videoId,actualStartTime,actualEndTime,duration_in_minutes
72568d5d908338a9cf9abf10d7d4faa61be3c4c58ad3ba11475a5dfe2ac6f6e8,2024-04-30T03:46:29Z,2024-04-30T18:49:05Z,902.6
d92528dc546d1522db694f027f349088580f633ba2845de64f3246869cbf87b1,2024-04-30T17:01:56Z,2024-04-30T18:51:28Z,109.5333333
14309f3a2638836bf1238483d5ae7a612719c290a2f850271bebede6c9156b42,2024-04-30T15:19:31Z,2024-04-30T18:54:11Z,214.6666667
af724d3ee502e9d39e50a072aae7143d5a647ad3795e72922340f1bd43ade1df,2024-04-30T12:04:08Z,2024-04-30T18:54:14Z,410.1
ef2c3c3581dc8deafc9f5dacfd6c16648df3f1ea6869a197ac56dbea9b2e9f42,2024-04-30T17:01:39Z,2024-04-30T19:01:34Z,119.9166667
b1911420048929cfd74fa542288c3f3367f3161831d25560428d3688e06407a2,2024-04-30T13:17:33Z,2024-04-30T17:50:26Z,272.8833333
671c3c624d1e1a86adc96c51864870c38a040353a06e0812f12c79e4227583d6,2024-04-30T16:28:28Z,2024-04-30T19:05:26Z,156.9666667
85d5f29f270fd31472a9da213e123c21f28bf0d6153362ba87ead5c4e5e2bec7,2024-04-30T17:07:27Z,2024-04-30T19:05:41Z,118.2333333
b79ddfa13c55de2490e2de83a441f76eb6c2b8b1a8ed1c7b433685fb451c35b1,2024-04-30T03:00:45Z,2024-04-30T19:02:16Z,961.5166667
5d320f18ad8ee2c7c1bb2661a40257e2e980ea18f2d3d343fa9f1f95ab15438b,2024-04-30T15:30:48Z,2024-04-30T19:07:42Z,216.9
ba2ea307453d7ecf2853f14bfb90ea283e10c1af270d7dee37224bdc1fe3e707,2024-04-30T15:01:25Z,2024-04-30T19:07:58Z,246.55
730901ee41c14ccf728eb9e62d97bb2ac1e82c925ff5be5fe41c701d28cd30e6,2024-04-30T15:15:16Z,2024-04-30T19:12:10Z,236.9
79324cde64ffa8f3569509d3b08285624b0d7fe6a2ad0a6270a88c139ed7b608,2024-04-30T13:34:42Z,2024-04-30T19:22:18Z,347.6
8ddb553b120da4fb4deb25af25a4b0f71d5d24127264a98dd2c0e67062675651,2024-04-30T16:41:27Z,2024-04-30T19:26:04Z,164.6166667
a15a6bcf7f21e7ccf1250e7b8b3b1fd4fc3a6f187a6303c6eb5824ab3b07da4c,2024-04-29T23:54:51Z,2024-04-30T19:22:45Z,1167.9
792d6115aebd6b08d828b51ce4c29a47d79c80b0896416b4e3c5260ac5e0c67a,2024-04-30T13:32:40Z,2024-04-30T19:24:34Z,351.9
ce6edab4eddd3aa936d621fe4c97ec5b6ea6d8346e4d5e61f3e0a0e78a043856,2024-04-30T11:10:38Z,2024-04-30T19:24:51Z,494.2166667
82ac65aa6613a54917ec0540295e0be48f67146493becfb27ab41f5dacce58e1,2024-04-30T14:56:51Z,2024-04-30T19:28:21Z,271.5
9465a768def706449495303c30387e9fb55f0c69c45b95e5187f12e3caf55475,2024-04-30T12:46:26Z,2024-04-30T19:30:37Z,404.1833333
30a26fdd01434697ab5fe087cb5d38c8292a809d23a013a255e25b7655cdd8a4,2024-04-30T16:01:52Z,2024-04-30T19:35:39Z,213.7833333
4ae6140327d9cbe10e428c586e3484f0c21eea3e42b2a4e1b1a7d5104796181d,2024-04-30T13:57:18Z,2024-04-30T19:35:52Z,338.5666667
8ffb6c7666a76b421b5690bcc38ef716e273b8e6d21a36ac9d7a9a1a4c7274ec,2024-04-30T16:15:34Z,2024-04-30T19:37:17Z,201.7166667
83c79d115c5763d35cbe019b6a903b279feb349c8f2973d19fcf2d25d63c1155,2024-04-30T09:34:50Z,2024-04-30T19:50:44Z,615.9
5d6b55659186f4a41d4520adc38ca692980d047530ab8d5f21a0a9fc1c92bd6e,2024-04-30T15:01:29Z,2024-04-30T19:51:39Z,290.1666667
897363f7f76b92bd8fd80fdbbaa6a8cab9cc51186c18fcf0c3cf280cb3423e1a,2024-04-30T12:03:10Z,2024-04-30T19:54:41Z,471.5166667
77ef094eaf13db8de40542d8d7814faaba6f0983531633ef97f551e6db9e94f7,2024-04-30T17:01:58Z,2024-04-30T19:58:55Z,176.95
6313af22ecd6a9794ee0580c5c9155b22b7ad90a4506f96b38360c2ace9a3266,2024-04-30T13:49:57Z,2024-04-30T19:20:52Z,330.9166667
cc99a64a6757c47512cd3bb83a5239c745ae9e7682ebe77701c0a60a1671ad49,2024-04-30T02:08:48Z,2024-04-30T20:03:18Z,1074.5
971eaea26f91b8ac00724f30e3b66f84bd0056d7f76bd888a198974fbc95e64a,2024-04-30T13:30:57Z,2024-04-30T20:14:21Z,403.4
4a718f39f8573eb033d8f2080af2ce7385259f9677d1da35a070afc04a3ac5fd,2024-04-30T16:17:17Z,2024-04-30T20:14:19Z,237.0333333
6787544169005b93a556af6ad3de36e058b0dc86984b235dad968f3f7f8db63d,2024-04-30T16:25:08Z,2024-04-30T20:17:02Z,231.9
cb60b74353150fef867a1d5f5bd5be03f6e551fab20dff2701b1598c9969048d,2024-04-30T11:13:58Z,2024-04-30T20:24:15Z,550.2833333
d39dce1c9a9f39616c7c30ec5c4172c2fc90da234a2cedebca9e6644b9f353c2,2024-04-30T18:10:13Z,2024-04-30T20:24:46Z,134.55
f90f2ea6f866bcdbcf90c6e8d12e8a0454f5e4067664c45f564967b10f5b0cba,2024-04-30T17:45:07Z,2024-04-30T20:24:41Z,159.5666667
6131fb13fe46146e91c12df7a9466d5b974495333c02a145522103d6fc469d98,2024-04-30T15:18:34Z,2024-04-30T20:22:40Z,304.1
b0ff91936a9f10c69338daa690264b6cec3e7cd18ee3cf30da78b5b907797f6c,2024-04-30T16:11:24Z,2024-04-30T20:31:08Z,259.7333333
5a7fc51015079b36d14d5ac859262afbc39d7619268216b8a8050a89f21b4507,2024-04-30T15:25:33Z,2024-04-30T20:41:47Z,316.2333333
3833001dd1e0581cb754c86be7d142783ef2b1bf5b5ba53c934fb115579b38a4,2024-04-30T15:59:53Z,2024-04-30T20:40:03Z,280.1666667
3d77aae7d394f57e759f79c3e178813dba9e5a661e43a7c8c3934fa45c78929c,2024-04-30T19:01:18Z,2024-04-30T20:38:21Z,97.05
1fed77acb84029ec9753e0b50015b5f4c428eb2ce07dc2d8078891f27252b1b5,2024-04-30T13:59:53Z,2024-04-30T20:44:49Z,404.9333333
7af53456c1647e0de0a9c106062ace505f070651e6bf731dc1d85b57ebfbc648,2024-04-30T15:03:04Z,2024-04-30T20:46:58Z,343.9
6cd57afa6c17b8797b0a1136621bdc37cc265eda8553b4572833a3f3d7ae5ae6,2024-04-30T17:46:25Z,2024-04-30T20:51:14Z,184.8166667
d3337df10861c442f691e9495d533310d6751ed3335a2016e1e0ee0db00a64b9,2024-04-30T18:33:37Z,2024-04-30T20:51:53Z,138.2666667
